title,area,contentid,addr,cat,x,y
푸마,1,3306429,서울특별시 성북구 동소문로 315 (길음동),A04,127.0287930253,37.6084530555
푸마,39,3306603,제주특별자치도 제주시 신광로 64 (연동),A04,126.4897569328,33.4865368314
푸마 광복,6,2931364,부산광역시 중구 광복로 74,A04,129.0328984133,35.0985565508
푸마 뉴코아 평촌,31,3305395,경기도 안양시 동안구 동안로 119 (호계동),A04,126.9516812325,37.3893465617
푸마 롯데아울렛 동부산점,6,2925636,부산광역시 기장군 기장해안로 147,A04,129.2128079785,35.1922521684
푸마 모다아울렛인천점,2,3306563,인천광역시 서구 북항로32번안길 50 (원창동),A04,126.6477388876,37.5099716004
푸마 신세계아울렛 부산점,6,2922679,부산광역시 기장군 장안읍 정관로 1133,A04,129.2349940728,35.3238517233
푸마 신세계아울렛 파주점,31,2922665,경기도 파주시 필승로 200 966호,A04,126.6965243749,37.7694061453
풋마트(여수),38,2905070,전라남도 여수시 진남상가길 46-2(충무동),A04,127.7318546198,34.7411844276
풋온코리아 두타,1,2902479,서울특별시 중구 장충단로 275 두타4F024,A04,127.0088293006,37.5689100708
풋조이 신제주,39,2912430,제주특별자치도 제주시 연북로 76,A04,126.4894098530,33.4815790407
풋조이_도산점,1,2894094,서울특별시 강남구 언주로 807,A04,127.0331117381,37.5224964546
"풍각장 (1, 6일)",35,132359,경상북도 청도군 풍각면 송서5길 10-1,A04,128.5840562728,35.6355879418
풍기인삼시장,35,132535,경상북도 영주시 풍기읍 인삼로 8,A04,128.5236182405,36.8730293793
풍기중앙시장,35,132118,경상북도 영주시 풍기읍 기주로76번길 16,A04,128.5279012708,36.8702908851
풍납도깨비시장,1,2758811,서울특별시 송파구 바람드리길 37-1 (풍납동),A04,127.1201506098,37.5375518286
풍산시장,35,1730535,경상북도 안동시 풍산읍 하리리 239-8,A04,128.5752249752,36.5778474562
풍월당,1,1019644,서울특별시 강남구 도산대로53길 39 (신사동) 4층,A04,127.0389472228,37.5258545028
프라다 갤러리아 타임월드점,3,2911577,대전광역시 서구 대덕대로 211,A04,127.3781824843,36.3520347639
프라다 갤러리아WEST,1,2909040,서울특별시 강남구 압구정로 343,A04,127.0400692668,37.5285292127
프라다 롯데 광복점,6,2911443,부산광역시 중구 중앙대로 2,A04,129.0367814147,35.0983538674
