title,area,addr,cat,x,y
강변사리마을캠핑장,37,전북특별자치도 임실군 덕치면 강동로 865-20,A03,127.1900274504,35.4952429034
강변캠핑장,33,충청북도 괴산군 괴산읍 충민로 317,A03,127.8414974491,36.8206977240
강원 정선 도원펜션,32,강원특별자치도 정선군 어도원길 165,A03,128.6251923589,37.4392161988
강원도힐링캠핑장,32,강원특별자치도 원주시 신림면 재사동길 10-38,A03,128.1577984696,37.2457102234
강진청자촌오토캠핑장,38,전라남도 강진군 대구면 청자촌길 42-5,A03,126.8033945352,34.5076309755
강촌밸리,32,강원특별자치도 춘천시 남산면 강촌로 145-20,A03,127.6415342547,37.8068273006
강촌버즈글램핑,32,강원특별자치도 춘천시 서면 율장길 122-28,A03,127.5804885446,37.8498628297
강촌포도펜션 오토캠핑장,32,강원특별자치도 춘천시 남산면 서백2길 36,A03,127.5730015542,37.8085036135
강촌하늘아래글램핑,32,강원특별자치도 춘천시 남산면 풀무골1길 71,A03,127.6415538795,37.8006419094
강화 버팔로 캠팜,2,인천광역시 강화군 하점면 고려산로 329-74,A03,126.4151727913,37.7548056484
강화고인돌캠핑장,2,인천광역시 강화군 하점면 강화대로 994-40,A03,126.4358508522,37.7762285120
강화도산들애캠핑수영장,2,인천광역시 강화군 강화읍 고비고개로 171,A03,126.4602690362,37.7411608117
강화도아침,2,인천광역시 강화군 길상면 해안남로 860-2,A03,126.4784292328,37.6145425578
강화무지개글램핑,2,인천광역시 강화군 송해면 장정양오길 437,A03,126.4568289651,37.7947600516
강화카라반해변,2,인천광역시 강화군 화도면 해안남로 2669,A03,126.3740437533,37.6359187923
강화캐라반캠핑장,2,인천광역시 강화군 화도면 해안남로 2669,A03,126.3739909790,37.6359437885
강화캠핑파크,2,인천광역시 강화군 길상면 신촌로146번길 14-11,A03,126.5166531740,37.6267140351
개금불 어뮤니티,36,경상남도 합천군 묘산면 봉곡1길 24-11,A03,128.1105812981,35.6346822256
개똥이네 캠핑장,32,강원특별자치도 홍천군 북방면 원소길 25,A03,127.7605760004,37.7197757378
개랭이 오토캠핑장,38,전라남도 순천시 흑가길 6-1,A03,127.3845202682,34.8864538168
개미들솔향기야영장,32,강원특별자치도 정선군 남면 광락로 507,A03,128.6804909698,37.3202393050
개암벌 용소 관광농원,32,강원특별자치도 홍천군 두촌면 군유동길 361-26,A03,128.0717935427,37.8608540802
개암벌용소관광농원,32,강원특별자치도 홍천군 두촌면 군유동길 361-26,A03,128.0717935427,37.8608540802
개울가오토캠핑장,31,경기도 가평군 설악면 유명로 654-58,A03,127.4949674269,37.6030288256
개차반캠핑,33,충청북도 괴산군 사리면 소매1길 102,A03,127.6668904086,36.8380258834
갯골캠핑장,31,경기도 시흥시 동서로 137-71 (월곶동),A03,126.7628567321,37.3899375809
거림캠핑장,35,경상북도 청도군 운문로 1158-10,A03,128.9989410531,35.6732608066
거북바위캠핑장,31,경기도 양평군 서종면 거북바위1길 185,A03,127.4288300217,37.5673956383
거북선마을 캠핑장,36,경상남도 사천시 사천대교로 75-61,A03,128.0406209830,34.9985498643
거장산오토캠핑장,36,경상남도 의령군 궁류면 청정로5길 57,A03,128.2612372301,35.4378404967
거제글램퍼스,36,경상남도 거제시 일운면 망치4길 38,A03,128.6652157870,34.8146260411
거제자연휴양림캠핑장,36,경상남도 거제시 동부면 거제중앙로 325,A03,128.6296446835,34.7841760229
거창 A글램핑,36,경상남도 거창군 마리면 세동길 7,A03,127.8689039568,35.6886912297
