title,area,contentid,addr,cat,x,y
대구경북디자인진흥원,4,2457312,대구광역시 동구 동대구로 461 (신천동),A02,128.6248600431,35.8714286996
대구두류공원,4,126131,대구광역시 달서구 두류공원로 161 (성당동),A02,128.5637271345,35.8500466594
대구부수성비,4,1115359,대구광역시 수성구 팔현길 248,A02,128.6580042373,35.8753566453
대구섬유박물관,4,2470055,대구광역시 동구 팔공로 227 (봉무동),A02,128.6403212387,35.9191430272
대구수목원,4,128120,대구광역시 달서구 화암로 342 (대곡동),A01,128.5206544628,35.8026901159
대구시민안전테마파크,4,701683,대구광역시 동구 팔공산로 1155 (용수동),A02,128.6919647216,35.9892388205
대구앞산공원,4,126132,대구광역시 남구 앞산순환로 574-87,A01,128.5890560428,35.8290189503
대구약령시 한방의료체험타운,4,2822328,대구광역시 중구 중앙대로77길 45,A02,128.5909992253,35.8682589890
대구어린이대공원,4,2742469,대구광역시 수성구 동대구로 176 (황금동),A02,128.6277993617,35.8467259942
대구제일교회,4,250329,대구광역시 중구 국채보상로102길 50 (동산동),A02,128.5864051864,35.8682366852
대구창의융합교육원,4,3344959,대구광역시 수성구 동대구로 172 (황금동),A02,128.6262411957,35.8456399773
대구출판산업지원센터,,3351749,대구광역시 달서구 문화회관길 165 (장기동),A02,128.5242224557,35.8437827532
대구향교,4,128119,대구광역시 중구 명륜로 112 (남산동),A02,128.5959906893,35.8597517110
대구화교협회,4,2930875,대구광역시 중구 종로 34 대구화교소학교,A02,128.5919046844,35.8688783799
대국산성,36,128667,경상남도 남해군 고현면 남치리,A02,127.8953945593,34.9008554928
대금굴 (대이리 동굴지대),32,129560,강원특별자치도 삼척시 신기면 환선로 800,A01,129.0205714417,37.3259535342
대금산(가평),31,125467,경기도 가평군 조종면 대보리 산 1,A01,127.4210178711,37.8189551498
대금산(거제),36,126670,경상남도 거제시 연초면 명동리,A01,128.6922237384,34.9495364499
대난지도,34,575404,충청남도 당진시 석문면 난지도리 4-27,A01,126.4354319609,37.0489352608
대덕숲유원지,33,2769578,충청북도 청주시 상당구 미원면 대덕리 266-1,A02,127.6792126323,36.6994225812
대도,36,2387088,경상남도 하동군 금남면 대도길 122,A01,127.8322770607,34.9319481233
대도어촌체험마을,36,129090,경상남도 하동군 금남면 대도리,A02,127.8318187679,34.9319370052
대동법시행기념비,31,125542,경기도 평택시 소사동 140-1,A02,127.1238185300,36.9861379441
대동벽화마을,3,2752861,대전광역시 동구 백룡로48번길 일대,A02,127.4507848261,36.3336214935
대동생태체육공원,36,3060329,경상남도 김해시 대동면 동남로 234-2,A02,129.0005192167,35.2535219257
대동하늘공원,3,2612261,대전광역시 동구 이화로35번길 50 (대동),A02,127.4509682020,36.3314606331
