title,area,contentid,addr,cat,x,y
쾌지나칭칭,36,2747743,경상남도 함안군 가야읍 새터길 168-2,A05,128.3917462920,35.2947256327
쿄우다이,4,2856291,대구광역시 달서구 월배로46길 72 (상인동),A05,128.5386441821,35.8158084062
쿠잉롤,38,2991397,전라남도 담양군 죽녹원로 91,A05,126.9849833474,35.3230616600
쿠지니,31,3543519,"경기도 양주시 회천중앙로 220 (덕계동, 회천 대광로제비앙 더센트럴아파트) 근린생활시설동 1-B117호",A05,127.0520599251,37.8174513718
쿠촐로 테라짜,1,2903386,서울특별시 강남구 선릉로152길 33 (청담동),A05,127.0423219507,37.5246102637
쿠치나13Y,35,2876513,경상북도 상주시 새잼이길 21-7,A05,128.1655225756,36.5776176457
쿠켄,32,2687672,강원특별자치도 강릉시 홍제로 7-11,A05,128.8854178360,37.7487021433
쿠쿠펫,3,2951584,대전광역시 유성구 봉명로 27-7 (원신흥동),A05,127.3427192500,36.3424269014
쿠키멍스터,32,2913226,강원특별자치도 춘천시 춘천로185번길 15 1층,A05,127.7340487358,37.8778041001
쿤스트라운지,36,2891586,경상남도 남해군 독일로 34,A05,128.0430259796,34.7978474001
쿼크커피바,36,2932703,경상남도 김해시 율하6로 55,A05,128.8239312957,35.1713612270
퀴버 서울숲,1,2894997,서울특별시 성동구 왕십리로5길 3 (성수동1가),A05,127.0443655899,37.5464549847
퀸스칼렛 카페드라뷰,2,3500202,인천광역시 연수구 연구단지로55번길 25 (송도동) 102호,A05,126.6640882515,37.3791037605
퀸스타운,31,2753810,경기도 화성시 동탄기흥로520번나길 20 (영천동),A05,127.0943872927,37.2062092151
퀸즈크라운베이커리카페,4,2766485,대구광역시 서구 서대구로 118 (평리동),A05,128.5556439989,35.8685638593
크라운돼지,39,2861349,제주특별자치도 제주시 애월읍 상가목장길 84,A05,126.3834849354,33.3934398929
크래커스,39,2783393,제주특별자치도 서귀포시 대정읍 보성구억로126번길 34,A05,126.2797079652,33.2633165320
크래프트루트,32,2710907,강원특별자치도 속초시 관광로 418 (노학동),A05,128.5377159268,38.1972849934
크래프트유니온협동조합(몽트비어),32,2710905,강원특별자치도 속초시 학사평길 7-1 (노학동) MONT BEER,A05,128.5281193548,38.2044117557
크랙킨,31,2892200,경기도 고양시 일산동구 무궁화로141번길 8-8 (정발산동),A05,126.7773558998,37.6699330651
크럼앤크러스트,31,2904797,경기도 하남시 미사강변한강로158번길 47 (망월동),A05,127.1899515253,37.5749265276
크레미엘,1,2866395,서울특별시 서초구 양재천로21길 3 디와이빌딩 1층,A05,127.0391652840,37.4758575340
크레이지카츠,1,2853824,서울특별시 마포구 포은로2나길 44 (합정동),A05,126.9097249652,37.5505048774
크레이트커피,1,2860077,서울특별시 용산구 독서당로 97,A05,127.0108078492,37.5353695584
크레타,31,2848051,경기도 파주시 탄현면 헤이리마을길 82-91,A05,126.7041203489,37.7889401137
크렘파이샵,38,2778411,전라남도 담양군 담양읍 객사4길 38-6,A05,126.9846667028,35.3232949614
크로마이트커피,2,2853887,인천광역시 연수구 청량로155번길 39-5,A05,126.6506105316,37.4213513945
크리스티앙 단디만주,7,2862405,울산광역시 남구 왕생로124번길 3,A05,129.3293685637,35.5444592775
크림라벨 서울숲 본점,1,2895010,서울특별시 성동구 서울숲2길 34 1층,A05,127.0423241043,37.5466049308
크림브리즈,32,3535809,강원특별자치도 강릉시 옥계면 헌화로 467 1층,A05,129.0529501574,37.6533914286
크림하우스,32,2894303,강원특별자치도 강릉시 해안로 1173 크림하우스,A05,128.8610224383,37.8505148840
크웰브,31,3355753,경기도 용인시 처인구 백옥대로 1330 (유방동),A05,127.2128363456,37.2534614287
큰갯물횟집,39,133990,제주특별자치도 서귀포시 대포로 161,A05,126.4382280753,33.2394161069
큰곰,32,2891657,강원특별자치도 원주시 영원산성길 46,A05,128.0153382039,37.2754985725
큰곰집,33,2849974,충청북도 음성군 음성로 553,A05,127.6428809743,36.9536788094
큰기와집,32,2687673,강원특별자치도 강릉시 강동면 정동등명길 3,A05,129.0159047341,37.7028155507
큰기와집,4,2744459,대구광역시 동구 서촌로 106 (송정동),A05,128.6237986495,35.9842686756
큰나루밴댕이회무침,2,606054,인천광역시 남동구 문화서로4번길 61-23,A05,126.6983666130,37.4456994095
큰나무집,4,2738021,대구광역시 달성군 가창면 우록길 24,A05,128.6595858168,35.7336782520
큰누이찜,36,2915841,경상남도 거제시 계룡로 14,A05,128.6304200028,34.8745214996
큰대문집,1,2839337,서울특별시 성북구 종암로14길 6-21,A05,127.0361593651,37.5963407070
큰마당감자탕,31,2757168,경기도 용인시 기흥구 한보라1로 5 (보라동),A05,127.1099067600,37.2543733640
큰바다횟집,36,1372336,경상남도 하동군 금남면 노량해안길 155,A05,127.8726259232,34.9467499462
큰바위가든,36,1799428,경상남도 밀양시 부북면 예림서원로 9-1,A05,128.7356501820,35.4744450007
큰손감자탕,32,2784953,강원특별자치도 평창군 평창읍 천변길 37,A05,128.3976011007,37.3668341024
큰손식당,31,2757170,경기도 용인시 기흥구 공세로 243 (공세동),A05,127.1035382365,37.2421329999
큰손집,31,812980,경기도 파주시 중앙로 270,A05,126.7776977586,37.7602808789
큰손참붕어찜,31,134868,경기도 김포시 양촌읍 김포대로1685번길 46,A05,126.6497538246,37.6647064057
큰우리본점,32,2776424,강원특별자치도 평창군 대관령면 대관령로 192,A05,128.7166298254,37.6725937809
큰지붕닭갈비,32,2774524,강원특별자치도 춘천시 신북읍 신샘밭로 652,A05,127.7819678442,37.9292017926
큰집가마솥설렁탕,32,134265,강원특별자치도 홍천군 홍천읍 홍천로3길 5-15,A05,127.8793744484,37.6894481396
큰집돌솥설렁탕,31,134872,경기도 구리시 안골로 51 (교문동),A05,127.1368834840,37.5976784799
큰집반점,32,2685551,강원특별자치도 횡성군 횡성읍 횡성로 67,A05,127.9744253577,37.4609486067
큰집뼈대있는짬뽕,8,2876008,"세종특별자치시 노을3로 19 (한솔동, 첫마을2단지)",A05,127.2593535019,36.4814678350
큰집식당,6,134082,부산광역시 중구 중구로24번길 19,A05,129.0298236350,35.1002507497
큰집식당,4,2808038,대구광역시 북구 학정로 551-23,A05,128.5646435917,35.9544181879
큰집한우,32,1855720,강원특별자치도 춘천시 서부대성로 135,A05,127.7349375425,37.8778568884
